Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Serbia,SRB,40.109,27.104,18.764,17.9524,17.1408,16.3292,15.5176,14.706,14.1444,13.5828,13.0212,..
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Seychelles,SYC,67.8894,57.9036,61.309,61.4572,61.6054,61.7536,61.9018,62.05,61.2244,60.3988,59.5732,..
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Sierra Leone,SLE,183.5772,160.9152,126.592,123.8392,121.0864,118.3336,115.5808,112.828,110.2282,107.6284,105.0286,..
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Singapore,SGP,7.9138,7.501,3.909,3.8332,3.7574,3.6816,3.6058,3.53,3.5134,3.4968,3.4802,..
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Sint Maarten (Dutch part),SXM,..,..,..,..,..,..,..,..,..,..,..,..
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Slovak Republic,SVK,47.6234,23.2876,22.464,23.108,23.752,24.396,25.04,25.684,25.9352,26.1864,26.4376,..
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Slovenia,SVN,25.5836,7.1828,4.73,4.5392,4.3484,4.1576,3.9668,3.776,3.6524,3.5288,3.4052,..
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Solomon Islands,SLB,90.4142,70.517,78.003,78.003,78.003,78.003,78.003,78.003,78.4116,78.8202,79.2288,..
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Somalia,SOM,91.7448,127.0688,110.376,108.3178,106.2596,104.2014,102.1432,100.085,97.6452,95.2054,92.7656,..
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,South Africa,ZAF,96.2902,70.2842,71.976,71.1624,70.3488,69.5352,68.7216,67.908,67.8488,67.7896,67.7304,..
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,South Sudan,SSD,138.133,123.8528,78.074,74.8672,71.6604,68.4536,65.2468,62.04,59.4332,56.8264,54.2196,..
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Spain,ESP,11.8542,9.3164,8.972,8.7226,8.4732,8.2238,7.9744,7.725,7.4904,7.2558,7.0212,..
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Sri Lanka,LKA,30.9842,28.4064,21.847,21.6628,21.4786,21.2944,21.1102,20.926,20.6904,20.4548,20.2192,..
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,St. Kitts and Nevis,KNA,..,..,..,..,..,..,..,..,..,..,..,..
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,St. Lucia,LCA,105.0938,60.667,44.164,43.4384,42.7128,41.9872,41.2616,40.536,39.8792,39.2224,38.5656,..
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,St. Martin (French part),MAF,..,..,..,..,..,..,..,..,..,..,..,..
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,St. Vincent and the Grenadines,VCT,90.8138,69.2202,54.508,53.4104,52.3128,51.2152,50.1176,49.02,48.1898,47.3596,46.5294,..
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Sudan,SDN,105.4364,116.3534,80.008,76.805,73.602,70.399,67.196,63.993,60.796,57.599,54.402,..
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Suriname,SUR,95.1222,84.4904,65.49,64.723,63.956,63.189,62.422,61.655,60.6396,59.6242,58.6088,..
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Sweden,SWE,11.5296,6.7206,5.413,5.3456,5.2782,5.2108,5.1434,5.076,5.1226,5.1692,5.2158,..
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Switzerland,CHE,6.4518,5.4812,3.503,3.355,3.207,3.059,2.911,2.763,2.6438,2.5246,2.4054,..
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Syrian Arab Republic,SYR,73.608,60.0856,43.288,42.3488,41.4096,40.4704,39.5312,38.592,37.9512,37.3104,36.6696,..
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Tajikistan,TJK,57.3834,45.6764,50.428,51.7576,53.0872,54.4168,55.7464,57.076,57.4706,57.8652,58.2598,..
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Tanzania,TZA,143.1706,134.261,123.16,122.205,121.25,120.295,119.34,118.385,116.926,115.467,114.008,..
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Thailand,THA,51.431,43.44,51.563,50.232,48.901,47.57,46.239,44.908,44.6888,44.4696,44.2504,..
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Timor-Leste,TLS,57.7282,61.6138,38.851,37.8378,36.8246,35.8114,34.7982,33.785,32.364,30.943,29.522,..
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Togo,TGO,114.3596,94.9228,91.737,91.2078,90.6786,90.1494,89.6202,89.091,88.6878,88.2846,87.8814,..
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Tonga,TON,24.9144,21.7608,16.602,16.214,15.826,15.438,15.05,14.662,14.3302,13.9984,13.6666,..
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Trinidad and Tobago,TTO,62.484,40.7776,34.805,33.862,32.919,31.976,31.033,30.09,29.3338,28.5776,27.8214,..
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Tunisia,TUN,19.7178,7.5222,7.59,7.6402,7.6904,7.7406,7.7908,7.841,7.85,7.859,7.868,..
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Turkiye,TUR,64.9088,49.0298,31.243,30.3062,29.3694,28.4326,27.4958,26.559,25.5558,24.5526,23.5494,..
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Turkmenistan,TKM,24.7594,24.8256,26.455,26.0476,25.6402,25.2328,24.8254,24.418,24.2324,24.0468,23.8612,..
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Turks and Caicos Islands,TCA,..,..,..,..,..,..,..,..,..,..,..,..
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Tuvalu,TUV,..,..,..,..,..,..,..,..,..,..,..,..
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Uganda,UGA,175.594,171.6676,131.888,129.2776,126.6672,124.0568,121.4464,118.836,116.0714,113.3068,110.5422,..
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Ukraine,UKR,59.8592,34.9826,27.953,27.1046,26.2562,25.4078,24.5594,23.711,23.0026,22.2942,21.5858,..
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,United Arab Emirates,ARE,55.4292,26.3898,16.77,14.7252,12.6804,10.6356,8.5908,6.546,5.8868,5.2276,4.5684,..
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,United Kingdom,GBR,30.9754,28.0886,18.479,17.4572,16.4354,15.4136,14.3918,13.37,12.641,11.912,11.183,..
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,United States,USA,57.0142,46.1652,27.937,26.3216,24.7062,23.0908,21.4754,19.86,18.5562,17.2524,15.9486,..
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Uruguay,URY,68.9318,65.7322,60.653,60.2678,59.8826,59.4974,59.1122,58.727,58.2386,57.7502,57.2618,..
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Uzbekistan,UZB,53.6328,27.8296,23.79,23.79,23.79,23.79,23.79,23.79,24.2094,24.6288,25.0482,..
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Vanuatu,VUT,72.9596,59.946,52.544,51.9226,51.3012,50.6798,50.0584,49.437,48.9082,48.3794,47.8506,..
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,"Venezuela, RB",VEN,97.059,92.8978,87.82,87.3234,86.8268,86.3302,85.8336,85.337,84.9792,84.6214,84.2636,..
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Vietnam,VNM,30.9624,28.6456,36.061,35.0346,34.0082,32.9818,31.9554,30.929,29.1518,27.3746,25.5974,..
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Virgin Islands (U.S.),VIR,79.0418,55.4724,45.747,42.375,39.003,35.631,32.259,28.887,27.6482,26.4094,25.1706,..
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,West Bank and Gaza,PSE,106.055,81.1304,60.792,59.1868,57.5816,55.9764,54.3712,52.766,51.8828,50.9996,50.1164,..
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,"Yemen, Rep.",YEM,148.7308,95.856,67.672,66.208,64.744,63.28,61.816,60.352,59.1624,57.9728,56.7832,..
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Zambia,ZMB,159.1766,159.9716,136.696,133.3792,130.0624,126.7456,123.4288,120.112,118.3048,116.4976,114.6904,..
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Zimbabwe,ZWE,105.8928,100.2418,108.843,104.3014,99.7598,95.2182,90.6766,86.135,83.2486,80.3622,77.4758,..
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Africa Eastern and Southern,AFE,129.717498115725,121.519840954294,105.256165526204,103.391460549283,101.54178202898,99.7197986558336,97.9166010264555,96.146492271639,94.6952233673467,93.2319436299549,91.7447123524383,..
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Africa Western and Central,AFW,154.21998172467,138.706331263256,122.104179205735,120.247258526536,118.394458552661,116.546851543272,114.699146262233,112.847045716325,111.056405501553,109.25192283229,107.432575339199,..
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Arab World,ARB,71.1396456111931,54.3460481780362,49.7910668476932,49.3453591765536,48.8539979631416,48.279737869624,47.5047393913232,46.6871192585151,46.0027225819805,45.2453686562773,44.4066110405966,..
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Caribbean small states,CSS,88.3520152283146,73.8036686641966,57.924307992308,56.7002179871096,55.4467191806127,54.1720763509096,52.832055665489,51.4759517493252,50.2154906239176,48.9413711474393,47.6551463384671,..
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Central Europe and the Baltics,CEB,42.0370121125496,23.7107682730392,20.6286377299768,20.4277222398844,20.2495367756915,20.065642617733,19.8687247775462,19.679294285943,19.4365674440553,19.1805923519658,18.9080169915488,..
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Early-demographic dividend,EAR,91.3527110246842,66.4102922066245,45.2926733968798,43.6741872615444,42.0339807042279,40.3763195889582,38.6745712237865,36.9719655715309,36.1715798332821,35.3626731736547,34.5457648901029,..
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,East Asia & Pacific,EAS,27.4592105006103,20.6198253989082,20.9366255793861,20.8801701035571,20.797495876697,20.748219961978,20.6839374322957,20.6194937461794,20.6396304911966,20.6353732393227,20.596644136092,..
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,East Asia & Pacific (excluding high income),EAP,29.6367988942744,21.9619297630153,22.4164303581053,22.3682989587168,22.2850495888981,22.2353317982968,22.1640793912402,22.0822152431631,22.0904037579327,22.0727133800668,22.0193112996704,..
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,East Asia & Pacific (IDA & IBRD countries),TEA,30.0137562775842,22.2144436774001,22.7273792844332,22.6786059256232,22.5934683052355,22.5436524014338,22.4727710307247,22.3917551214246,22.4019411390982,22.3841646963318,22.3275336758176,..
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Euro area,EMU,13.9807466696543,10.7417952333932,7.78009114234147,7.55489411780655,7.33241209142043,7.11462778256001,6.89446020449181,6.67278828858818,6.50170336977397,6.33909505465351,6.1805998465056,..
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Europe & Central Asia,ECS,35.9452295073339,25.5306918088725,19.9614238412316,19.3561461416712,18.7726642724844,18.2087225122722,17.6390253193117,17.0882735551695,16.6240096491424,16.1839950039312,15.7635950987294,..
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Europe & Central Asia (excluding high income),ECA,54.1838264404814,35.6128109245551,29.5229311266969,28.8665593681475,28.1991261913291,27.5128345332219,26.7995833137695,26.051963312878,25.3459705513259,24.6321020549866,23.9373761049243,..
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Europe & Central Asia (IDA & IBRD countries),TEC,51.7926543837314,33.908796006757,28.4705813263043,27.842687784055,27.2140913099354,26.5741733554591,25.9103906914163,25.2215459116204,24.5733497658727,23.9109339253892,23.255612548341,..
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,European Union,EUU,20.6501830788581,14.1152565065423,10.5414649750327,10.2445804915971,9.9608352823673,9.68721172605404,9.41033082645645,9.14351008707404,8.92777695452575,8.73942238775142,8.56962392349973,..
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Fragile and conflict affected situations,FCS,116.365537231993,109.095031970337,97.4014214338728,95.8446089340453,94.2871052401826,92.7262597469691,91.1586961829606,89.5957202730976,88.2972891523493,86.9539184983132,85.5529816603853,..
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Heavily indebted poor countries (HIPC),HPC,140.322744232888,132.634132772576,111.678253344523,109.614069363125,107.567553419248,105.55187001968,103.562667187129,101.610859285576,99.9113187610745,98.2117423869345,96.4990237136267,..
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,High income,HIC,28.4517342567203,23.7490776599608,16.663192406887,15.8847935227784,15.1120066066544,14.3529176848297,13.6022324818228,12.8602384582619,12.3038101753904,11.7468646813363,11.1928532897573,..
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,IBRD only,IBD,59.0292385819047,46.3308238581018,34.120327716136,33.0056529911974,31.8366997231546,30.6596931671372,29.4445406646977,28.2062376097444,27.6393240003741,27.0515240184111,26.4411647693837,..
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,IDA & IBRD total,IBT,72.3037226806877,61.1324662969941,50.9137859538695,50.0583370446188,49.1533497634019,48.2487659699663,47.2940747356007,46.3198748275431,45.8746909226417,45.3869946820885,44.8476675097911,..
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,IDA blend,IDB,114.181589623383,92.3682987919847,76.8982369122328,75.8935465513775,74.9243236210661,73.9693902797361,72.9887994504117,72.0274495810481,71.2754155543212,70.4629645732852,69.568766372352,..
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,IDA only,IDX,130.407719688916,115.45343479859,97.8167113660555,96.3830983792204,94.9490422433006,93.518969585806,92.0971369120711,90.6885782094961,89.549414007047,88.3753740284373,87.154785615703,..
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,IDA total,IDA,125.103778677357,107.80928848904,90.9126761610887,89.6423572538114,88.3789932441742,87.1192146947369,85.8543949651499,84.6001910331422,83.590726073637,82.5326339824116,81.4117852109509,..
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Late-demographic dividend,LTE,32.1995641216454,25.7692923302048,22.4740513861581,22.1829073723233,21.8636525907004,21.5768728387766,21.2850379676298,20.9760341249487,20.6394492726185,20.2690520561596,19.8592953257038,..
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Latin America & Caribbean,LCN,87.3113541613412,82.5568646158618,68.1723226051211,67.1531106486744,66.1338337605036,65.1129043137032,64.0673610546065,63.0304271547812,62.0987753870593,61.1773301589238,60.2648861276541,..
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Latin America & Caribbean (excluding high income),LAC,87.7571664627215,82.9421047894515,67.6701273802186,66.6530847164656,65.6372941398497,64.6259147427325,63.6149714989692,62.6089136573109,61.6450453459843,60.6850853231707,59.7259233316052,..
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Latin America & the Caribbean (IDA & IBRD countries),TLA,87.8040605516441,83.1225529691219,68.5206221166638,67.5002933274415,66.4793651878836,65.4563007269616,64.401090626115,63.3546465199535,62.4017383620805,61.4678935624102,60.5500232565277,..
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Least developed countries: UN classification,LDC,135.166907343676,120.54272927892,102.021076899781,100.393952903116,98.7707325518967,97.1581305270775,95.5732732547702,94.0098631288066,92.760496328833,91.5019586205887,90.2241476721733,..
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Low & middle income,LMY,72.2401050103223,61.140813303549,50.7120873898653,49.8548406457552,48.9484886585008,48.043061218594,47.0923371819781,46.1207789715567,45.6778508791887,45.1923528530446,44.6559941294016,..
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Low income,LIC,130.185116932022,127.250068478926,106.432678863656,104.60950073003,102.785860838025,100.95655609832,99.1028752365646,97.2565953659883,95.6909951430061,94.0983100596148,92.4689300688312,..
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Lower middle income,LMC,93.7488720711076,69.4637988736582,50.4446327631738,48.9363068696833,47.4257711302218,45.9126641798285,44.3683175781304,42.8369053255495,42.1819359645712,41.5110887234355,40.8166244189212,..
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Middle East & North Africa,MEA,69.7674716513046,42.4082154570696,40.6310540719132,40.6396690379596,40.6019245479158,40.4988226486374,40.242301989516,39.969693543811,39.7030773834305,39.3931559648028,39.0282308799916,..
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Middle East & North Africa (excluding high income),MNA,71.160410585788,44.1133804148576,44.2625411517259,44.3375716419907,44.341722704881,44.2590157730814,44.0983094314097,43.889157045127,43.6216348411763,43.2948081792691,42.906945885597,..
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Middle East & North Africa (IDA & IBRD countries),TMN,70.8403108846341,43.7641999460354,44.0217933648604,44.1165481909221,44.1414200237819,44.0797035087124,43.9403802446553,43.7531122610619,43.4951515973846,43.1770377284169,42.7967666608402,..
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Middle income,MIC,67.6222920697165,54.7243320445243,43.21573291322,42.268399404226,41.2775725936684,40.2910119053412,39.2711454096392,38.2339244954494,37.7712146074298,37.2749536678161,36.7386107571966,..
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,North America,NAC,53.8040241262654,43.3864971058499,26.4357274201884,24.9144022695644,23.3995415512993,21.8903276150007,20.3735270668551,18.8557789135889,17.6421703237239,16.4247921679245,15.2089096158843,..
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Not classified,INX,..,..,..,..,..,..,..,..,..,..,..,..
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,OECD members,OED,38.7086749147569,35.2833984448376,27.0024719301588,26.1491270223664,25.3025164268177,24.4805071253781,23.6634755869776,22.8654991556535,22.2311480505281,21.564466847024,20.8429734613464,..
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Other small states,OSS,92.797280738871,78.2645321852393,65.5340540886265,64.8203967442493,64.1004692324744,63.3341506661154,62.4731885084774,61.5516416661304,60.4492768441236,59.3215551335988,58.2218329545076,..
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Pacific island small states,PSS,62.7401985024621,48.6905922919262,49.3775991891165,49.5842924345073,49.7809963016303,49.9841854435848,50.1759829166269,50.4193141404464,50.5432455269585,50.592989136333,50.5405607757955,..
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Post-demographic dividend,PST,28.4297421397606,23.7501644504902,16.5236333647817,15.7272429264851,14.9354360813587,14.1581633457461,13.39809869977,12.6484432579924,12.0579521362847,11.4684534212018,10.8865641400568,..
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Pre-demographic dividend,PRE,147.024198549358,137.736181589292,119.659644356304,117.468368049677,115.29048638492,113.141617732562,111.021402587176,108.928839401438,107.124964341,105.313493630981,103.484659352706,..
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Small states,SST,89.6607004640894,75.3368179838754,63.0538054663025,62.3050997032588,61.5493776678452,60.7619485972843,59.906216094017,59.015597602851,58.0042875608687,56.9666262915132,55.9392927126644,..
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,South Asia,SAS,103.355412589635,71.9015679589017,38.0078199904619,35.5713796348926,33.1143928348034,30.6349808403827,28.117750787699,25.5855860581694,24.52389565319,23.4471522023153,22.3572658874626,..
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,South Asia (IDA & IBRD),TSA,103.355412589635,71.9015679589017,38.0078199904619,35.5713796348926,33.1143928348034,30.6349808403827,28.117750787699,25.5855860581694,24.52389565319,23.4471522023152,22.3572658874626,..
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Sub-Saharan Africa,SSF,139.454881488549,128.343601683883,111.908189739387,110.049679321788,108.206280402356,106.38594408319,104.575734905038,102.788360572363,101.219936703148,99.6377984546276,98.0324006570513,..
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Sub-Saharan Africa (excluding high income),SSA,139.464619660088,128.351368760067,111.911597640089,110.052816319479,108.209158932063,106.388614725338,104.578196020721,102.790630214852,101.222098539567,99.6398718158834,98.0344041537786,..
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Sub-Saharan Africa (IDA & IBRD countries),TSS,139.454881488549,128.343601683883,111.908189739387,110.049679321788,108.206280402356,106.38594408319,104.575734905038,102.788360572363,101.219936703148,99.6377984546276,98.0324006570513,..
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Upper middle income,UMC,40.3305244296291,34.3773921503165,31.1663265855155,30.9618840956946,30.6929220423325,30.4478350692233,30.2004901026908,29.9151297380417,29.6752016402922,29.3838401413437,29.0389259474353,..
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,World,WLD,65.7373003709474,56.3286811902118,46.6888515286934,45.8913693705862,45.0569484260433,44.2232698242591,43.3273777029251,42.4197644205913,42.0017355800224,41.545938070639,41.0371516538235,..
Demand for family planning satisfied by modern methods (% of married women with demand for family planning),SH.FPL.SATM.ZS,Afghanistan,AFG,..,..,..,..,..,42.2,..,..,..,..,..,..
Demand for family planning satisfied by modern methods (% of married women with demand for family planning),SH.FPL.SATM.ZS,Albania,ALB,..,..,..,..,..,..,..,..,6,..,..,..
Demand for family planning satisfied by modern methods (% of married women with demand for family planning),SH.FPL.SATM.ZS,Algeria,DZA,..,..,77.2,77.2,..,..,..,..,..,..,..,..
Demand for family planning satisfied by modern methods (% of married women with demand for family planning),SH.FPL.SATM.ZS,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..,..,..
Demand for family planning satisfied by modern methods (% of married women with demand for family planning),SH.FPL.SATM.ZS,Andorra,AND,..,..,..,..,..,..,..,..,..,..,..,..
Demand for family planning satisfied by modern methods (% of married women with demand for family planning),SH.FPL.SATM.ZS,Angola,AGO,..,..,..,..,..,24.25633,24.3,..,..,..,..,..
Demand for family planning satisfied by modern methods (% of married women with demand for family planning),SH.FPL.SATM.ZS,Antigua and Barbuda,ATG,..,..,..,..,..,..,..,..,..,..,..,..
Demand for family planning satisfied by modern methods (% of married women with demand for family planning),SH.FPL.SATM.ZS,Argentina,ARG,..,..,..,..,..,..,..,..,..,..,..,..
Demand for family planning satisfied by modern methods (% of married women with demand for family planning),SH.FPL.SATM.ZS,Armenia,ARM,..,28.3,..,..,..,..,40.2,..,..,..,..,..
Demand for family planning satisfied by modern methods (% of married women with demand for family planning),SH.FPL.SATM.ZS,Aruba,ABW,..,..,..,..,..,..,..,..,..,..,..,..
Demand for family planning satisfied by modern methods (% of married women with demand for family planning),SH.FPL.SATM.ZS,Australia,AUS,..,..,..,..,..,..,..,..,..,..,..,..
Demand for family planning satisfied by modern methods (% of married women with demand for family planning),SH.FPL.SATM.ZS,Austria,AUT,..,..,..,..,..,..,..,..,..,..,..,..
Demand for family planning satisfied by modern methods (% of married women with demand for family planning),SH.FPL.SATM.ZS,Azerbaijan,AZE,..,..,..,..,..,..,..,..,..,..,..,..
Demand for family planning satisfied by modern methods (% of married women with demand for family planning),SH.FPL.SATM.ZS,"Bahamas, The",BHS,..,..,..,..,..,..,..,..,..,..,..,..
Demand for family planning satisfied by modern methods (% of married women with demand for family planning),SH.FPL.SATM.ZS,Bahrain,BHR,..,..,..,..,..,..,..,..,..,..,..,..
Demand for family planning satisfied by modern methods (% of married women with demand for family planning),SH.FPL.SATM.ZS,Bangladesh,BGD,..,60.6,..,78.26828,72.6,..,..,..,70.3,..,..,..
Demand for family planning satisfied by modern methods (% of married women with demand for family planning),SH.FPL.SATM.ZS,Barbados,BRB,..,..,70,..,..,..,..,..,..,..,..,..
Demand for family planning satisfied by modern methods (% of married women with demand for family planning),SH.FPL.SATM.ZS,Belarus,BLR,..,..,74.2,..,..,..,..,..,..,..,..,..
Demand for family planning satisfied by modern methods (% of married women with demand for family planning),SH.FPL.SATM.ZS,Belgium,BEL,..,..,..,..,..,..,..,..,..,..,..,..
Demand for family planning satisfied by modern methods (% of married women with demand for family planning),SH.FPL.SATM.ZS,Belize,BLZ,..,..,..,..,..,..,65.89674,..,..,..,..,..
Demand for family planning satisfied by modern methods (% of married women with demand for family planning),SH.FPL.SATM.ZS,Benin,BEN,..,..,17.4,..,24.22954,..,..,..,25.9,..,..,..
Demand for family planning satisfied by modern methods (% of married women with demand for family planning),SH.FPL.SATM.ZS,Bermuda,BMU,..,..,..,..,..,..,..,..,..,..,..,..
Demand for family planning satisfied by modern methods (% of married women with demand for family planning),SH.FPL.SATM.ZS,Bhutan,BTN,..,..,..,..,..,..,..,..,..,..,..,..
Demand for family planning satisfied by modern methods (% of married women with demand for family planning),SH.FPL.SATM.ZS,Bolivia,BOL,..,..,..,..,..,..,50.27871,..,..,..,..,..
Demand for family planning satisfied by modern methods (% of married women with demand for family planning),SH.FPL.SATM.ZS,Bosnia and Herzegovina,BIH,..,..,21.9,..,..,..,..,..,..,..,..,..
